,0
409,"Hello,
 I am Ivorian Ivory Coast and I just create this small structure that wants to work in everything and agricultural assistance to rural structures for better development in rural Africa .
I myself am even young farmer and I must say that the techniques used are difficult making the non-performing performance . Agricultural infrastructure are very often the machete and hoe . This condition does not make really profitable our production and we only have small bad harvests . We have land and we have the manpower. The climate in my country is suitable for agriculture . We just need a little technology and we can not ask them arriver.Nous new, but what is not seen used in clean and we could use here .
We also have raw materials that our organization could put your disposition.je want to quote all that grows in Africa and is less expensive : corn , mango, coconut , cashew, cocoa, coffee, pepper , oil palm , cucumber, onion , garlic, tomato, cola and so one.Or if you need representation for your product, I can introduir you in being your representative or facilitate your entry in Africa through Côte d'Ivoire. But know that I really need to move the rural and i hope that you could contribute.
I saw your profile and I would first like to correspond with you to discuss what we can do together.
So I need a partner to help me move the rural travil for the African farmer and breeder can help feed the world.

DJIZO Gnalega Jeremie
BP 39 Bingerville (Côte d'Ivoire)
225 09824006
225 06 418742
scodera.africa@gmail.com
djizo22@gmail.com
jeremie@pa-participations.com
Skype: djizojay

Thank you for accepting me"
410,And what did this video have to do with AGCO parts?
411,Where's your Agco tractors now?
412,help Massey Ferguson GC2610 slows going in reverse what do Ido
413,topcon all the way
414,Exploited one season to Crumble...
415,John deere 
416,"Since you bought out gleaner now which is basically a modern Allis-Chalmers, couldnt you bring back the brand as well as Oliver too please?"
417,"What safety features are there to prevent someone from getting their arms or legs into the hay pickup, and getting injured on that auger, chopper looking part? It looks dangerous to me. "
418,What does 'swings left/right' actually accomplish?  How is the rotation affected?
419,"European designed MF are just superb, take a look at the new 6600 ore 7600 VT series. Strongest 4 cyl tractor engine on the marked for the 6600, by FAR the best tractor headland management system in the world, with DTM. Best CVT transmission out there. Really nice spool valve arrangement, no clumsy hoses for front linkage. Outstanding ride comfort. Its all most 1 ton lighter than comparable machines. The list just goes on and on.. Only negative thing is the price.."
420,"You love,doing rodeos"
421,its my life ambition to visit fendt factory! 
422,good !!!!!!!!!!
423,I am curious as to what states allow the practice of vet med without a license?
424,AGCO stop taking the credit for things you ain't done and bring back british MF production we need more basic tractors and scraping out tractors
425,Krone hdp runs rings around this baler
426,I would love to see this system on farm 4 wheel bikes also
427,1:46 that is some good bolt tightening skills there master assembeler
428,More at wwwDOTFendtfielddaysDOTcom.
429,More at wwwDOTFendtfielddaysDOTcom.
430,More at wwwDOTwhite-plantersDOTcom.
431,More at wwwDOTsunflowermfgDOTcom
432,More at wwwDOTwhite-plantersDOTcom.
433,"More at wwwDOTgleanercombinesDOTcom
"
434,More at wwwDOTsunflowermfgDOTcom.
435,Lindoooooo! Amei!!!!
436,"Thank God for Deen! Farm on, Farm on"
437,Nice tractor !    
438,"Marry me? haha
"
439,Shes awesome!
440,Love her!
441,yes man up with Fendt
442,"I now Agco bought Fendt etc, by why call it Agco's CVT? I mean it is a product that Fendt created, so at least call it the Fendt CVT. Just give the people the credit they deserver, not get some with buying a company :)"
443,Belarus all the way :D
444,Incredible progress!
445,it is normal for a woman to look nice...a machine is designed to work!
446,"very good video
"
447,Whats the dry weight of this machine compared to a 4660 spra coupe?
448,cool 
449,Nice!!
450,"There are many types of CVT. Some use belts and pulleys, toroidal disks, or tilting spheres, and others are purely hydraulic. This transmission is part of the CVT subclassification IVT, do to its ability to reach a neutral and reverse gear ratio. All variable displacement hydrostatic transmissions, regardless of configuration, fall into this subclass of transmission. "
451,"Well, if you and 99,999 other people are willing to shell out $100, i'll gladly develop and incorporate this type of IVT as an optional transmission in my forthcoming GT car.
"
452,Those dual category ball ends are a neat idea.
453,Inside the tractor there is usualy a control box that tells the operator that the bale is formed. then the operator stops moving and a relay activates the twine or net to wrap the bale after witch the bale is released and the operator begins the process again.
454,can you just rake 1 swath
455,you can build your own adaptor to put this head on your machine
456,Get a macdon lexion youd be alot happier
457,This tractor should be marketed in Brazil
458,This tractor should be marketed in Brazil
459,"I SAW HIS EYES, when he was talking about the a/c and the radio. He was seeking him PEAK   lol lol lol lol.   Hey don't blame him she is hot."
460,Spegni il massey e scopati la bionda:)
461,Go gleaner! Only combine worth a dime
462,Their called city dic*s
463,is this from the fendt vario trasnmission?
464,"man up to fendt
"
465,those 7 who disliked it must be cityslickers. this is one of the many ways country folk find love.
466,eso es muy cierto saludos desde mexico
467,Right. This guy is fuck all.......idiot.
468,"Zu den neueren Typen der MF Mähdrescher kann ich nichts sagen.
Aber auf die Ernte 2013 mit meinem 16 Jahre alten MF 36 freu ich mich schon! :)

Leider seh ich die junge Dame im Video das erste mal.
Kein Versprecher, klare Aussprache, gutes Auftreten, sie wirkt kein bischen nervös. Respekt!

Aber... Sie präsentiert einen fantastischen Mähdrescher, was soll da schon schief gehen?! 
;)"
469,MF 4eva
470,I like the old MFs
471,"Sharitz is a good looking guy. Throw some light into him. Then maybe we can see him!

Love live Da Boo!!"
472,The massey cvt is Fendt owned. Fendt is the best tractor. Massey is a cheaper version of a Fendt ;)
473,First
474,"well this one equals, or surpasses ordinary mechanical transmissions as effiecency goes. I aint hot, or loud either.. "
475,"no
"
476,"same as in all new masseys, cos challenger and massey are built in the same factory in the states and both now owned by AGCO!"
477,"have they herd of FENT !!! # deere any day
"
478,Why have so many brand names?
479,Gotta love that QCS system!
480,Will this work in White tractors?
481,if its no red leave it in the shed !! haha cant beat a massey !!
482,so i know what agco has done when they bought it and before they bought it and they didnt change the facility or the way it runs much at all they only added to what we do which makes us a competitor around the world
483,do u even work or have worked at any branches of agco? if so youd notice that they dont obsolete somthing unless it truly becomes useless thats what companies do they get rid of the old and bring in the new sunflower is the same way even before agco took over 10 years ago. but yet not much has changed since agco took over besides them getting us new equipment and us putting their logo with our sunflower logo. yea i may be young and u may think i dont know much about it but i grew up at sunflower
